Dinucleotide	ratio
TpG	1.61
CpA	1.45
ApG	0.76
CpT	0.87
GpA	1.02
TpC	0.22
ApC	1.33
GpT	0.23
CpC	0.27
GpG	0.91
ApA	0.59
TpT	1.05
ApT	1.16
TpA	0.87
CpG	0.57
GpC	1.72
TpG	1.46
CpA	1.19
ApG	1.57
CpT	1.22
GpA	1.13
TpC	0.93
ApC	0.67
GpT	0.86
CpC	0.77
GpG	0.63
ApA	0.82
TpT	0.91
ApT	0.68
TpA	0.28
CpG	0.8
GpC	1.24
TpG	1.69
CpA	1.25
ApG	1.21
CpT	1.29
GpA	0.69
TpC	0.83
ApC	0.84
GpT	1.03
CpC	0.89
GpG	0.69
ApA	0.77
TpT	0.45
ApT	1.0
TpA	1.0
CpG	0.39
GpC	1.42
TpG	1.47
CpA	1.33
ApG	1.01
CpT	1.2
GpA	1.0
TpC	1.04
ApC	0.86
GpT	0.86
CpC	0.88
GpG	0.96
ApA	0.8
TpT	0.74
ApT	0.97
TpA	0.65
CpG	0.16
GpC	1.04
TpG	1.22
CpA	1.29
ApG	1.18
CpT	1.13
GpA	1.02
TpC	1.01
ApC	0.9
GpT	0.89
CpC	1.01
GpG	0.97
ApA	0.78
TpT	0.79
ApT	0.88
TpA	0.75
CpG	0.11
GpC	0.99
TpG	1.46
CpA	1.19
ApG	1.59
CpT	1.21
GpA	1.15
TpC	0.94
ApC	0.67
GpT	0.87
CpC	0.78
GpG	0.62
ApA	0.81
TpT	0.91
ApT	0.68
TpA	0.28
CpG	0.8
GpC	1.25
TpG	1.69
CpA	1.25
ApG	1.21
CpT	1.29
GpA	0.69
TpC	0.83
ApC	0.84
GpT	1.03
CpC	0.89
GpG	0.69
ApA	0.77
TpT	0.45
ApT	1.0
TpA	1.0
CpG	0.39
GpC	1.42
TpG	1.51
CpA	1.37
ApG	1.02
CpT	1.19
GpA	0.99
TpC	1.0
ApC	0.87
GpT	0.87
CpC	0.86
GpG	0.9
ApA	0.8
TpT	0.73
ApT	0.98
TpA	0.62
CpG	0.2
GpC	1.09
TpG	1.46
CpA	1.19
ApG	1.57
CpT	1.22
GpA	1.13
TpC	0.93
ApC	0.67
GpT	0.86
CpC	0.77
GpG	0.63
ApA	0.82
TpT	0.91
ApT	0.68
TpA	0.28
CpG	0.8
GpC	1.24
TpG	1.69
CpA	1.25
ApG	1.21
CpT	1.29
GpA	0.69
TpC	0.83
ApC	0.84
GpT	1.03
CpC	0.89
GpG	0.69
ApA	0.77
TpT	0.45
ApT	1.0
TpA	1.0
CpG	0.39
GpC	1.42
TpG	1.46
CpA	1.19
ApG	1.57
CpT	1.22
GpA	1.13
TpC	0.93
ApC	0.67
GpT	0.86
