Chromosome	Feature	Start	End	Strand	ApA_ratio	ApT_ratio	ApG_ratio	ApC_ratio	TpA_ratio	TpT_ratio	TpG_ratio	TpC_ratio	GpA_ratio	GpT_ratio	GpG_ratio	GpC_ratio	CpA_ratio	CpT_ratio	CpG_ratio	CpC_ratio
NC_000067.7	exon	3172239	3172348	+	0.59	1.16	0.76	1.33	0.87	1.05	1.61	0.22	1.02	0.23	0.91	1.72	1.45	0.87	0.57	0.27
NC_000067.7	exon	3740775	3741733	-	0.82	0.68	1.57	0.67	0.28	0.91	1.46	0.93	1.13	0.86	0.63	1.24	1.19	1.22	0.8	0.77
NC_000067.7	exon	3491925	3492124	-	0.77	1.0	1.21	0.84	1.0	0.45	1.69	0.83	0.69	1.03	0.69	1.42	1.25	1.29	0.39	0.89
NC_000067.7	exon	3283662	3287191	-	0.8	0.97	1.01	0.86	0.65	0.74	1.47	1.04	1.0	0.86	0.96	1.04	1.33	1.2	0.16	0.88
NC_000067.7	exon	3269956	3277540	-	0.78	0.88	1.18	0.9	0.75	0.79	1.22	1.01	1.02	0.89	0.97	0.99	1.29	1.13	0.11	1.01
NC_000067.7	exon	3740775	3741721	-	0.81	0.68	1.59	0.67	0.28	0.91	1.46	0.94	1.15	0.87	0.62	1.25	1.19	1.21	0.8	0.78
NC_000067.7	exon	3491925	3492124	-	0.77	1.0	1.21	0.84	1.0	0.45	1.69	0.83	0.69	1.03	0.69	1.42	1.25	1.29	0.39	0.89
NC_000067.7	exon	3284705	3287191	-	0.8	0.98	1.02	0.87	0.62	0.73	1.51	1.0	0.99	0.87	0.9	1.09	1.37	1.19	0.2	0.86
NC_000067.7	exon	3740775	3741733	-	0.82	0.68	1.57	0.67	0.28	0.91	1.46	0.93	1.13	0.86	0.63	1.24	1.19	1.22	0.8	0.77
NC_000067.7	exon	3491925	3492124	-	0.77	1.0	1.21	0.84	1.0	0.45	1.69	0.83	0.69	1.03	0.69	1.42	1.25	1.29	0.39	0.89
NC_000067.7	exon	3740775	3741733	-	0.82	0.68	1.57	0.67	0.28	0.91	1.46	0.93	1.13	0.86	0.63	1.24	1.19	1.22	0.8	0.77
NC_000067.7	exon	3491925	3492124	-	0.77	1.0	1.21	0.84	1.0	0.45	1.69	0.83	0.69	1.03	0.69	1.42	1.25	1.29	0.39	0.89
NC_000067.7	exon	3420932	3422536	-	0.88	0.89	1.32	0.76	0.76	0.7	1.14	1.05	1.01	0.9	1.0	0.76	1.24	1.13	0.06	1.08
NC_000067.7	exon	3436480	3436728	+	0.55	1.02	1.49	0.55	0.32	0.63	1.18	1.43	1.56	0.87	0.79	0.63	1.89	1.1	0.09	1.07
NC_000067.7	exon	3438565	3448035	+	0.77	0.91	1.2	0.93	0.75	0.76	1.23	1.04	1.06	0.87	0.97	0.95	1.34	1.18	0.11	0.92
NC_000067.7	exon	3422903	3438060	+	0.77	0.91	1.2	0.88	0.8	0.72	1.28	1.03	1.05	0.94	0.85	1.0	1.25	1.22	0.1	0.93
NC_000067.7	exon	3438565	3448035	+	0.77	0.91	1.2	0.93	0.75	0.76	1.23	1.04	1.06	0.87	0.97	0.95	1.34	1.18	0.11	0.92
NC_000067.7	exon	3741733	3742701	-	0.78	0.82	1.42	0.57	0.82	0.73	1.25	0.82	1.03	0.65	0.68	1.22	1.04	1.52	0.72	0.81
NC_000067.7	exon	4422425	4423060	-	0.68	0.82	1.16	1.07	0.65	0.89	1.31	0.98	1.06	0.86	0.83	0.96	1.33	1.28	0.48	0.94
NC_000067.7	exon	4422133	4422304	-	0.84	0.61	1.58	1.02	0.7	0.82	1.16	0.85	1.32	0.66	1.12	1.07	1.14	1.35	0.21	0.83
NC_000067.7	exon	4381493	4381656	-	0.81	1.0	0.9	0.66	0.73	0.54	1.51	1.27	0.9	1.39	0.89	0.49	1.03	1.02	0.16	1.19
NC_000067.7	exon	4354989	4355121	-	0.96	0.99	1.19	0.53	0.46	0.78	1.07	1.35	1.36	0.53	1.5	0.93	1.32	1.04	0.23	1.09
NC_000067.7	exon	4313356	4313485	-	0.71	0.83	1.41	0.72	0.47	0.59	1.72	1.13	1.25	1.09	0.41	1.09	1.13	1.23	0.41	0.8
NC_000067.7	exon	4298666	4298842	-	0.85	0.47	1.35	0.99	0.38	0.81	1.47	1.22	0.93	0.98	0.66	1.19	1.41	1.43	0.37	0.61
NC_000067.7	exon	4296834	4297046	-	0.45	1.05	1.33	1.13	0.63	0.91	1.51	0.93	1.05	0.89	0.72	1.01	1.67	0.99	0.17	0.71
NC_000067.7	exon	4276883	4277060	-	0.69	0.92	1.37	0.78	0.46	0.85	1.26	1.33	1.26	0.9	0.87	0.8	1.55	1.0	0.13	0.98
NC_000067.7	exon	4218835	4218967	-	0.81	0.58	1.28	1.05	0.19	1.01	1.06	1.49	0.96	0.91	1.25	0.82	1.68	1.09	0.33	0.54
NC_000067.7	exon	4218035	4218186	-	0.52	0.74	1.51	1.16	0.46	0.65	1.21	1.28	1.37	1.33	0.72	0.38	1.65	0.86	0.38	0.72
NC_000067.7	exon	4212835	4212989	-	0.48	0.97	1.27	1.16	0.39	0.56	1.42	1.32	1.62	0.66	0.79	0.9	1.5	1.51	0.34	0.56
NC_000067.7	exon	4185896	4186171	-	0.58	0.67	1.48	1.11	0.72	1.13	0.95	0.89	1.07	0.88	0.87	0.87	1.5	1.03	0.15	1.03
NC_000067.7	exon	4430423	4430526	-	0.95	0.49	0.89	1.29	0.68	0.6	1.53	0.95	0.89	1.69	0.47	0.58	0.73	1.33	0.87	1.07
NC_000067.7	exon	4422425	4423060	-	0.68	0.82	1.16	1.07	0.65	0.89	1.31	0.98	1.06	0.86	0.83	0.96	1.33	1.28	0.48	0.94
NC_000067.7	exon	4422133	4422304	-	0.84	0.61	1.58	1.02	0.7	0.82	1.16	0.85	1.32	0.66	1.12	1.07	1.14	1.35	0.21	0.83
NC_000067.7	exon	4381493	4381656	-	0.81	1.0	0.9	0.66	0.73	0.54	1.51	1.27	0.9	1.39	0.89	0.49	1.03	1.02	0.16	1.19
NC_000067.7	exon	4354989	4355121	-	0.96	0.99	1.19	0.53	0.46	0.78	1.07	1.35	1.36	0.53	1.5	0.93	1.32	1.04	0.23	1.09
NC_000067.7	exon	4313356	4313485	-	0.71	0.83	1.41	0.72	0.47	0.59	1.72	1.13	1.25	1.09	0.41	1.09	1.13	1.23	0.41	0.8
NC_000067.7	exon	4298666	4298842	-	0.85	0.47	1.35	0.99	0.38	0.81	1.47	1.22	0.93	0.98	0.66	1.19	1.41	1.43	0.37	0.61
NC_000067.7	exon	4296834	4297046	-	0.45	1.05	1.33	1.13	0.63	0.91	1.51	0.93	1.05	0.89	0.72	1.01	1.67	0.99	0.17	0.71
NC_000067.7	exon	4276883	4277060	-	0.69	0.92	1.37	0.78	0.46	0.85	1.26	1.33	1.26	0.9	0.87	0.8	1.55	1.0	0.13	0.98
NC_000067.7	exon	4218835	4218967	-	0.81	0.58	1.28	1.05	0.19	1.01	1.06	1.49	0.96	0.91	1.25	0.82	1.68	1.09	0.33	0.54
NC_000067.7	exon	4218035	4218186	-	0.52	0.74	1.51	1.16	0.46	0.65	1.21	1.28	1.37	1.33	0.72	0.38	1.65	0.86	0.38	0.72
NC_000067.7	exon	4212835	4212989	-	0.48	0.97	1.27	1.16	0.39	0.56	1.42	1.32	1.62	0.66	0.79	0.9	1.5	1.51	0.34	0.56
NC_000067.7	exon	4190089	4190296	-	0.86	1.21	0.77	0.81	0.58	0.81	1.4	1.31	1.06	0.74	1.21	0.76	1.54	0.97	0.13	0.96
NC_000067.7	exon	4422425	4423060	-	0.68	0.82	1.16	1.07	0.65	0.89	1.31	0.98	1.06	0.86	0.83	0.96	1.33	1.28	0.48	0.94
