#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_004115215.2	PRJNA534073	SAMN08537700	RZJT00000000.2	representative genome	9258	9258	Ornithorhynchus anatinus		Pmale09	latest	Chromosome	Major	Full	2020/11/06	mOrnAna1.pri.v4	Vertebrate Genomes Project	GCA_004115215.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/215/GCF_004115215.2_mOrnAna1.pri.v4			na
GCF_015852505.1	PRJNA687514	SAMN12634963	JADRJE000000000.1	representative genome	9261	9261	Tachyglossus aculeatus		mTacAcu1	latest	Chromosome	Major	Full	2020/12/09	mTacAcu1.pri	Vertebrate Genomes Project	GCA_015852505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri			na
GCF_902635505.1	PRJNA596784	SAMEA6099886	CACPPN000000000.1	representative genome	9305	9305	Sarcophilus harrisii			latest	Chromosome	Major	Full	2019/11/07	mSarHar1.11	SC	GCA_902635505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11			na
GCF_011100635.1	PRJNA667932	SAMN12629507	JAANDE000000000.1	representative genome	9337	9337	Trichosurus vulpecula		mTriVul1	latest	Chromosome	Major	Full	2020/03/10	mTriVul1.pri	Vertebrate Genomes Project	GCA_011100635.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri			na
GCF_000208655.1	PRJNA196486	SAMN02953623	AAGV00000000.3	representative genome	9361	9361	Dasypus novemcinctus		3-136	latest	Scaffold	Major	Full	2012/01/06	Dasnov3.0	Baylor College of Medicine	GCA_000208655.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/655/GCF_000208655.1_Dasnov3.0			na
GCF_000296755.1	PRJNA232766	SAMN00760989	AMDU00000000.1	representative genome	9365	9365	Erinaceus europaeus		Erinaceus europaeus_13Jul2011	latest	Scaffold	Major	Full	2012/09/19	EriEur2.0	Broad Institute	GCA_000296755.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/755/GCF_000296755.1_EriEur2.0			na
GCF_000313985.2	PRJNA193504	SAMN00216137	AAIY00000000.3	representative genome	9371	9371	Echinops telfairi		266	latest	Scaffold	Major	Full	2019/07/15	ASM31398v2	Broad Institute	GCA_000313985.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/985/GCF_000313985.2_ASM31398v2			na
GCF_000325575.1	PRJNA232518	SAMN01103203	ALWS00000000.1	representative genome	9402	9402	Pteropus alecto			latest	Scaffold	Major	Full	2013/12/04	ASM32557v1	BGI	GCA_000325575.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/325/575/GCF_000325575.1_ASM32557v1			na
GCF_014176215.1	PRJNA665208	SAMN14734550	JACASE000000000.1	representative genome	9407	9407	Rousettus aegyptiacus		mRouAeg1	latest	Scaffold	Major	Full	2020/08/07	mRouAeg1.p	Bat1K	GCA_014176215.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/176/215/GCF_014176215.1_mRouAeg1.p			na
GCF_014825515.1	PRJNA673233	SAMN12273914	VSFN00000000.1	representative genome	9417	9417	Artibeus jamaicensis		1a	latest	Scaffold	Major	Full	2020/09/30	WHU_Ajam_v2	College of Life Sciences at Wuhan University	GCA_014825515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/825/515/GCF_014825515.1_WHU_Ajam_v2			na
